episode_no,file,title,status,sentence_index,episode_tickers,sentence_tickers,actions,instruments,contract_counts,strikes_or_spreads,prices_and_returns,evidence
1,-0qjqPRaUpw_回归英伟达_我的最新操作.md,回归英伟达_我的最新操作,usable,1,NVDA,,sell,"call, put, cash_secured_put",,,,过去这一年，我经历过sell put和sell call期权，经历过那种一夜之间天堂与地狱的切换，那种感觉很刺激，也很真实，但它更像赌徒，而不是一名投资者。
1,-0qjqPRaUpw_回归英伟达_我的最新操作.md,回归英伟达_我的最新操作,usable,6,NVDA,,,wheel,,,,所以这次回归我的核心策略就只有四个字：车轮战法，the wheel strategy。
1,-0qjqPRaUpw_回归英伟达_我的最新操作.md,回归英伟达_我的最新操作,usable,7,NVDA,,sell,"call, put, wheel, covered_call, cash_secured_put, stock",,,,所谓车轮策略其实非常简单，就是围绕一只你愿意长期持有的股票，反复做两件事：sell put和sell covered call。
1,-0qjqPRaUpw_回归英伟达_我的最新操作.md,回归英伟达_我的最新操作,usable,8,NVDA,,sell,"put, cash_secured_put",,,,先说sell put。
1,-0qjqPRaUpw_回归英伟达_我的最新操作.md,回归英伟达_我的最新操作,usable,9,NVDA,,"buy, sell","put, stock",,,,卖出put本质上就是你在一个更低的价格买入这只股票，同时收取一笔权利金。
1,-0qjqPRaUpw_回归英伟达_我的最新操作.md,回归英伟达_我的最新操作,usable,15,NVDA,,,"call, covered_call",,,,接下来，我们说covered call。
1,-0qjqPRaUpw_回归英伟达_我的最新操作.md,回归英伟达_我的最新操作,usable,16,NVDA,,sell,"call, stock",,,,当你已经持有股票的时候，你可以卖出call，相当于告诉市场：如果涨到这个价格，我愿意卖出我的股票。
1,-0qjqPRaUpw_回归英伟达_我的最新操作.md,回归英伟达_我的最新操作,usable,19,NVDA,,sell,stock,,,,如果股价涨了上去，你可以在一个满意的价格卖出你手上的股票。
1,-0qjqPRaUpw_回归英伟达_我的最新操作.md,回归英伟达_我的最新操作,usable,20,NVDA,,sell,"call, put, covered_call, stock",,,,于是整个过程就像一个循环：卖put，接股票，卖covered call，股票被行权，再卖put。
1,-0qjqPRaUpw_回归英伟达_我的最新操作.md,回归英伟达_我的最新操作,usable,21,NVDA,,,wheel,,,,这就是为什么叫车轮，它不是一笔交易，而是一种节奏。
1,-0qjqPRaUpw_回归英伟达_我的最新操作.md,回归英伟达_我的最新操作,usable,23,NVDA,NVDA,sell,put,一张,185 put,"卖出了2, 卖出一张，我能得到的权利金是778美金, 778美金",在2月4号周三，英伟达在170多块的位置，我卖出了2月6号到期的185 put option，卖出一张，我能得到的权利金是778美金。
1,-0qjqPRaUpw_回归英伟达_我的最新操作.md,回归英伟达_我的最新操作,usable,27,NVDA,,,,,,,从期权结构来看，市场有向185回归的引力。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,14,"NVDA, META, TSM/TSMC",,open,stock,,,,对于我们普通散户来说，如果看到这个天大的利好新闻和暴涨股价，最忌讳的就是FOMO入场追高。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,15,"NVDA, META, TSM/TSMC",,open,,,,,如果你敢于入场冲锋，那我敬你是勇士，赚到的钱是勇气给予你的馈赠。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,20,"NVDA, META, TSM/TSMC",NVDA,close,,94000张,,,我首先分析了英伟达本周的期权open interest数据，发现未平仓数量最大的是94000张180扣。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,24,"NVDA, META, TSM/TSMC",,,,,,,请问我采取什么样的期权策略最合适？
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,25,"NVDA, META, TSM/TSMC",,,butterfly,,,,321，没错，是蝴蝶。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,26,"NVDA, META, TSM/TSMC",,"buy, sell",butterfly,"一张, 两张, 一张",176.5至183.5,"买入一张175, 卖出两张180, 买入一张185, 成本1.5",我构建了175、180、185的蝴蝶策略：买入一张175扣，卖出两张180扣，买入一张185扣，成本1.5，盈利区间为176.5至183.5。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,27,"NVDA, META, TSM/TSMC",NVDA,,"butterfly, stock",,,"股价为180, 228%",也就是说，只要周五收盘英伟达股价在这个区间里，这个蝴蝶策略都为盈利，股价为180时，盈利达到最大值228%。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,28,"NVDA, META, TSM/TSMC",,open,butterfly,,,,我周二当天完整的开仓了这套蝴蝶策略，平静的等待结果的到来。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,46,"NVDA, META, TSM/TSMC",NVDA,,"butterfly, stock",,,"股价跌到了173.95, 52000元",截止周四9点40分，英伟达股价跌到了173.95，而阿宝的蝴蝶策略已经亏损了将近52000元。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,47,"NVDA, META, TSM/TSMC",,,butterfly,,,,在这一刻，我毅然决然的将蝴蝶拆腿。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,48,"NVDA, META, TSM/TSMC",,,butterfly,,,,还记得蝴蝶策略的构成部分吗？
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,49,"NVDA, META, TSM/TSMC",,"buy, sell",,"一张, 两张, 一张",,"买入一张175, 卖出两张180, 买入一张185",买入一张175扣，卖出两张180扣，买入一张185扣。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,50,"NVDA, META, TSM/TSMC",,"open, close",butterfly,,,,这蝴蝶策略一共3条腿，我拆去了其中两条，我平仓了180扣和185扣，留下了175扣，并将平仓后获得的额外资金用于开仓更多的175扣。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,51,"NVDA, META, TSM/TSMC",,,butterfly,,,,在这般操作之下，原本175、180、185的蝴蝶也就变成了175扣的单腿期权。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,52,"NVDA, META, TSM/TSMC",,,butterfly,,,,蝴蝶本有双翼三腿，如今我拆了翅膀，去其中两条腿，只留下175扣这一条单腿，这是我对这个错误解读失业数据的市场发起的抗争。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,57,"NVDA, META, TSM/TSMC",,,butterfly,,,,阿宝通过拆腿，蝴蝶变成大腿扣，满满的吃掉了这波市场认错后的回升，账户也一口气涨了7万，来到了193000的新高。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,58,"NVDA, META, TSM/TSMC",,"open, close",vertical_spread,,,,而随后我平仓了175扣，开仓了172.5、175的牛市垂直价差。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,59,"NVDA, META, TSM/TSMC",,open,vertical_spread,,,,通过这个操作，我不仅锁住了所有这波涨幅里的利润，还再次开仓了牛市垂直价差，趁胜追击。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,60,"NVDA, META, TSM/TSMC",NVDA,open,vertical_spread,,,"成本是0.55, 收盘高于175",我开仓这组牛市垂直价差的成本是0.55，也就是说，只要周五英伟达收盘高于175，我就能吃满这0.55的权利金。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,61,"NVDA, META, TSM/TSMC",,,vertical_spread,,,"最大收益率为0.55, 0.5%, 28.2%",而这组牛市垂直价差的利润最大收益率为0.55除以2.5减0.5%，也就是28.2%。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,62,"NVDA, META, TSM/TSMC",,,vertical_spread,,,,扭亏为盈之后，我并未就此退场，而是凭借着新的牛市垂直价差策略开始了新一轮的趁势追击。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,65,"NVDA, META, TSM/TSMC",,open,"call, vertical_spread, butterfly",,,,回顾这波澜壮阔的一天：开盘10分钟，蝴蝶策略亏损5万；接着我把蝴蝶拆腿变call，盈利7万；之后同一天内，我开仓并垂直价差，再次盈利2.6万。
2,-13Nmto1gfA_美股实盘挑战4千__100万 第17周 已至28万.md,美股实盘挑战4千__100万 第17周 已至28万,usable,67,"NVDA, META, TSM/TSMC",NVDA,,vertical_spread,,175 strike,收盘178.19,英伟达最终周五收盘178.19，高于我的牛市垂直价差的175 strike，策略获得了最大盈利。
